DATE,GDPC1_PC1
1999-10-01,4.80665
2000-01-01,4.19958
2000-04-01,5.29774
2000-07-01,4.07533
2000-10-01,2.97348
2001-01-01,2.30971
2001-04-01,1.05724
2001-07-01,0.50359
2001-10-01,0.15349
2002-01-01,1.31828
2002-04-01,1.33961
2002-07-01,2.21437
2002-10-01,2.09454
2003-01-01,1.77093
2003-04-01,2.02840
2003-07-01,3.30181
2003-10-01,4.32636
2004-01-01,4.30456
2004-04-01,4.20302
2004-07-01,3.43159
2004-10-01,3.28179
2005-01-01,3.87068
2005-04-01,3.56089
2005-07-01,3.50550
2005-10-01,3.12611
2006-01-01,3.35389
2006-04-01,3.11947
2006-07-01,2.36650
2006-10-01,2.59070
2007-01-01,1.48229
2007-04-01,1.82569
2007-07-01,2.22081
2007-10-01,1.97348
2008-01-01,1.14924
2008-04-01,1.09243
2008-07-01,0.00188
2008-10-01,-2.75308
2009-01-01,-3.28907
2009-04-01,-3.92445
2009-07-01,-3.04978
2009-10-01,0.18287
2010-01-01,1.71025
2010-04-01,2.79607
2010-07-01,3.17821
2010-10-01,2.56945
2011-01-01,1.93063
2011-04-01,1.72150
2011-07-01,0.94904
2011-10-01,1.60935
2012-01-01,2.65176
2012-04-01,2.36151
2012-07-01,2.52812
2012-10-01,1.46857
2013-01-01,1.57195
2013-04-01,1.26165
2013-07-01,1.91742
2013-10-01,2.61412
2014-01-01,1.42572
2014-04-01,2.67201
2014-07-01,3.11773
2014-10-01,2.87685
2015-01-01,4.14775
2015-04-01,3.45201
2015-07-01,2.57477
2015-10-01,2.16428
2016-01-01,1.77694
2016-04-01,1.40825
2016-07-01,1.59194
2016-10-01,2.06758
2017-01-01,2.06682
2017-04-01,2.18386
2017-07-01,2.37131
2017-10-01,2.70333
2018-01-01,3.07713
2018-04-01,3.32519
2018-07-01,3.11630
2018-10-01,2.47552
2019-01-01,2.26580
2019-04-01,1.96316
2019-07-01,2.07648
2019-10-01,2.33888
